"URN","Text-Content"
"urn:cts:ctsDemo:tufts.cle395.dipl:9","TOR·SPE·CATPVS·INIQVA"
"urn:cts:ctsDemo:tufts.cle395.dipl:10",""
"urn:cts:ctsDemo:tufts.cle395.dipl:11",""
"urn:cts:ctsDemo:tufts.cle395.dipl:12",""
