"URN","Text-Content"
"urn:cts:ctsDemo:tufts.cle395.dipl:5","TISQVOSPARAPETVENIPOST"
"urn:cts:ctsDemo:tufts.cle395.dipl:6","LVMINAVITEXICVSICNS"
"urn:cts:ctsDemo:tufts.cle395.dipl:7","ETSIMULACRVMCORSVM"
"urn:cts:ctsDemo:tufts.cle395.dipl:8","BRANSONISCNATEGEN"
