"URN","Alignment","Text-Deformation","Editorial-Status"
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.1","urn:cts:ctsDemo:tufts.cle395.dipl:5@QUOS[1]","quos",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.2","urn:cts:ctsDemo:tufts.cle395.dipl:5@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.3","urn:cts:ctsDemo:tufts.cle395.dipl:5@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:5.4","urn:cts:ctsDemo:tufts.cle395.dipl:5@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.1","urn:cts:ctsDemo:tufts.cle395.dipl:6@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.2","urn:cts:ctsDemo:tufts.cle395.dipl:6@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.3","urn:cts:ctsDemo:tufts.cle395.dipl:6@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:6.4","urn:cts:ctsDemo:tufts.cle395.dipl:6@","",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.1","urn:cts:ctsDemo:tufts.cle395.dipl:7@ET[1]","et",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.2","urn:cts:ctsDemo:tufts.cle395.dipl:7@SIMULACRUM[1]","simulacrum",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.3","urn:cts:ctsDemo:tufts.cle395.dipl:7@CORS[1]","corporis","expan"
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:7.4","urn:cts:ctsDemo:tufts.cle395.dipl:7@UM[1]-8@BRA[1]","umbra",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:8.1","urn:cts:ctsDemo:tufts.cle395.dipl:8@NSONIS[1]","insonis","expan"
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:8.2","urn:cts:ctsDemo:tufts.cle395.dipl:8@GNATE[1]","gnate",""
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:8.3","urn:cts:ctsDemo:tufts.cle395.dipl:8@GEN[1]-9@TOR[1]","genitor",""
